股票代码_StkCd,证监会行业门类代码_CsrcICCd1
000004,C
000006,K
000007,H
000008,H
000014,K
000021,C
000027,D
000031,K
000034,S
000036,K
000038,K
000040,K
000042,K
000043,K
000046,K
000048,C
000049,C
000050,C
000059,C
000060,C
000061,L
000062,L
000066,C
000068,C
000069,N
000078,F
000088,G
000089,G
000096,F
000099,G
000100,C
000150,K
000151,F
000153,C
000155,C
000156,R
000158,C
000301,D
000333,C
000400,C
000401,C
000402,K
000403,C
000404,C
000407,C
000409,B
000410,C
000415,L
000417,F
000419,F
000420,C
000421,S
000422,C
000423,C
000425,C
000428,H
000430,N
000502,K
000503,I
000507,G
000510,C
000511,C
000516,F
000517,K
000518,C
000519,C
000524,H
000525,C
000526,K
000528,C
000529,C
000531,D
000532,S
000534,K
000536,C
000537,K
000538,C
000540,K
000543,D
000545,C
000546,C
000547,C
000548,G
000551,S
000552,B
000554,F
000555,I
000559,C
000560,F
000561,C
000565,C
000566,C
000567,K
000568,C
000571,B
000572,C
000573,K
000576,C
000582,G
000587,C
000589,C
000593,F
000595,C
000597,C
000598,D
000599,C
000600,D
000601,D
000603,B
000606,C
000607,C
000608,K
000610,N
000617,C
000619,C
000620,K
000622,C
000623,C
000626,F
000629,B
000630,C
000631,K
000632,F
000635,C
000636,C
000637,C
000638,F
000639,C
000650,C
000651,C
000652,F
000655,B
000656,K
000657,C
000659,C
000661,C
000665,R
000667,K
000669,D
000670,K
000671,K
000672,C
000673,R
000678,C
000679,F
000680,C
000681,I
000682,C
000683,C
000685,D
000688,B
000690,D
000691,K
000692,D
000693,B
000695,D
000697,B
000698,C
000700,C
000701,F
000702,C
000703,C
000705,F
000707,C
000708,C
000709,C
000711,K
000716,C
000717,C
000718,K
000720,D
000721,H
000722,D
000723,C
000727,C
000729,C
000731,C
000732,K
000733,C
000735,A
000736,K
000737,C
000738,C
000739,C
000748,C
000751,C
000752,C
000753,F
000757,C
000758,B
000759,F
000760,C
000762,B
000766,C
000767,D
000777,C
000778,C
000780,B
000782,C
000785,F
000786,C
000788,C
000789,C
000790,C
000791,D
000792,C
000793,R
000797,K
000798,A
000799,C
000800,C
000801,C
000802,N
000803,C
000806,C
000807,C
000809,N
000810,C
000812,C
000813,B
000815,C
000816,C
000818,C
000819,C
000821,C
000822,C
000823,C
000825,C
000826,N
000828,G
000829,F
000830,C
000831,C
000833,C
000836,C
000837,C
000838,K
000839,I
000848,C
000850,C
000851,F
000852,C
000856,C
000858,C
000859,C
000860,C
000861,L
000862,C
000863,K
000868,C
000875,D
000876,C
000877,C
000878,C
000880,C
000881,S
000882,K
000885,C
000886,K
000887,C
000888,N
000889,F
000890,C
000893,C
000895,C
000899,D
000900,G
000901,C
000902,C
000903,C
000905,G
000908,C
000909,S
000910,C
000911,C
000912,C
000913,C
000915,C
000916,G
000917,I
000918,K
000919,C
000922,C
000923,C
000926,K
000927,C
000928,C
000929,C
000930,C
000932,C
000933,C
000935,C
000936,C
000937,B
000948,I
000949,C
000950,C
000951,C
000952,C
000953,C
000955,C
000957,C
000958,D
000959,C
000960,C
000962,C
000963,F
000965,K
000966,D
000969,C
000970,C
000971,C
000972,C
000975,B
000978,N
000979,K
000980,C
000981,K
000983,B
000985,C
000988,C
000990,C
000993,D
000997,I
000998,A
000999,C
001696,C
001896,D
002001,C
002002,C
002003,C
002004,C
002007,C
002008,C
002010,C
002011,C
002012,C
002013,C
002014,C
002016,K
002017,C
002019,C
002020,C
002022,C
002023,C
002024,F
002025,C
002026,C
002027,C
002028,C
002029,C
002030,C
002031,C
002032,C
002033,N
002034,C
002035,C
002036,C
002037,C
002038,C
002039,D
002040,G
002041,A
002042,C
002043,C
002045,C
002046,C
002048,C
002049,C
002052,C
002053,C
002054,C
002055,C
002056,C
002057,C
002058,C
002059,N
002061,C
002063,I
002064,C
002066,C
002067,C
002069,A
002073,C
002074,C
002075,C
002076,C
002077,K
002078,C
002079,C
002080,C
002082,C
002083,C
002085,C
002086,A
002087,C
002088,C
002089,C
002090,C
002091,F
002092,C
002093,I
002094,C
002095,I
002096,C
002097,C
002099,C
002100,C
002101,C
002102,C
002104,C
002105,C
002106,C
002107,C
002108,C
002109,C
002110,C
002111,C
002112,C
002114,C
002115,C
002116,M
002117,C
002118,C
002119,C
002120,C
002121,C
002122,C
002124,C
002125,C
002126,C
002127,C
002128,B
002129,C
002130,C
002131,C
002132,C
002133,K
002134,C
002136,C
002138,C
002139,C
002141,C
002143,C
002144,C
002145,C
002146,K
002147,C
002148,I
002149,C
002150,C
002151,C
002153,I
002154,C
002155,B
002156,C
002158,C
002159,N
002161,C
002162,C
002164,C
002165,C
002166,C
002167,C
002169,C
002174,C
002175,C
002176,C
002177,C
002179,C
002182,C
002183,L
002185,C
002186,H
002187,F
002189,C
002190,C
002191,C
002192,C
002193,C
002194,C
002195,I
002196,C
002197,C
002198,C
002199,C
002200,A
002201,C
002204,C
002205,C
002206,C
002208,K
002209,C
002210,L
002212,C
002213,C
002214,C
002215,C
002216,C
002218,C
002219,C
002221,F
002222,C
002223,C
002224,C
002225,C
002226,C
002227,C
002228,C
002229,C
002230,I
002231,C
002232,I
002233,C
002234,A
002236,C
002237,C
002238,I
002240,C
002241,C
002242,C
002243,C
002244,K
002245,G
002246,C
002247,C
002248,C
002249,C
002250,C
002251,F
002252,C
002253,I
002254,C
002255,C
002256,C
002259,C
002260,C
002261,I
002262,F
002263,C
002264,F
002265,C
002266,C
002267,D
002268,I
002269,C
002271,C
002272,C
002273,C
002274,C
002275,C
002276,C
002277,F
002278,C
002279,I
002280,I
002281,C
002282,C
002283,C
002284,C
002285,K
002286,C
002287,C
002288,C
002289,C
002290,C
002291,C
002292,C
002293,C
002294,C
002295,C
002297,C
002299,A
002300,C
002302,C
002304,C
002305,K
002306,H
002309,C
002311,C
002313,C
002315,I
002316,I
002317,C
002318,C
002319,C
002320,G
002321,A
002326,C
002327,C
002330,C
002332,C
002333,C
002334,C
002336,F
002337,C
002338,C
002339,C
002340,C
002342,C
002344,L
002345,C
002346,C
002347,C
002348,C
002349,C
002350,C
002352,C
002353,C
002355,C
002357,G
002360,C
002361,C
002362,C
002363,C
002364,C
002365,C
002366,C
002367,C
002368,I
002369,C
002370,C
002371,C
002372,C
002373,I
002374,C
002376,C
002378,C
002379,C
002380,C
002381,C
002382,C
002383,C
002384,C
002385,C
002387,C
002389,C
002390,C
002391,C
002392,C
002393,C
002394,C
002395,C
002397,C
002398,M
002399,C
002400,L
002401,I
002402,C
002403,C
